Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 26, 2018",29.81,33.33,29.58,32.78,3961660,286639083
"Feb 25, 2018",27.77,29.89,27.46,29.75,2446120,260191271
"Feb 24, 2018",29.38,29.77,26.79,27.8,3329380,243084977
"Feb 23, 2018",28.2,29.89,26.78,29.31,4114120,256304947
"Feb 22, 2018",27.85,29.69,26.41,28.19,4018360,246517429
"Feb 21, 2018",28.98,32.1,27.31,27.9,5509830,243995342
"Feb 20, 2018",32.84,34,28.7,29.01,6206210,253702405
"Feb 19, 2018",32.31,33.76,31.99,32.88,4675180,287503099
"Feb 18, 2018",35.56,36.13,32.36,32.43,1711760,283630768
"Feb 17, 2018",33.33,36.18,32.89,35.48,4010330,310315572
"Feb 16, 2018",32.51,33.58,31.52,33.35,4480170,291609799
"Feb 15, 2018",31.19,33.16,30.73,32.64,5114490,285432259
"Feb 14, 2018",29.69,31.64,29.51,31.24,6311520,273198736
"Feb 13, 2018",28.6,30.8,27.55,29.86,8404720,261116503
"Feb 12, 2018",25.9,29.53,25.85,28.62,4064320,250322423
"Feb 11, 2018",27.08,27.08,24.23,25.63,4492130,224149207
"Feb 10, 2018",28.18,29.92,25.97,27.05,5989860,236547139
"Feb 09, 2018",25.78,28.77,24.59,28.2,5621940,246586516
"Feb 08, 2018",23.41,26.64,23.41,25.7,6199920,224708894
"Feb 07, 2018",26.4,26.59,22.78,23.36,5791760,204322312
"Feb 06, 2018",21.59,27.1,18.2,26.58,6158420,232448309
"Feb 05, 2018",26.69,27.37,20.12,21.54,4912880,188384364
"Feb 04, 2018",31.97,32.86,24.05,27.12,5343820,237153174
"Feb 03, 2018",29.6,33.35,26.49,31.96,6790260,279452358
"Feb 02, 2018",31.07,31.07,22.39,29.46,9135540,257649944
"Feb 01, 2018",38.87,39.39,29.42,31.13,11955300,272222782
"Jan 31, 2018",38.43,39.58,36.37,38.78,5642280,339128934
"Jan 30, 2018",44.32,44.57,36.79,38.37,6051400,335553936
"Jan 29, 2018",46.56,47.29,43.62,44.2,3634000,386495904
"Jan 28, 2018",45.17,47.8,45.17,46.6,5132220,407484149
"Jan 27, 2018",44.3,46.47,43.76,44.94,6871510,392994390
"Jan 26, 2018",47.02,48.23,39.77,44.3,5479060,387416764
"Jan 25, 2018",48.53,49.99,44.04,47.17,6394650,412501214
"Jan 24, 2018",47.19,49.56,45.7,47.83,9471610,418250244
"Jan 23, 2018",44.72,49.58,41.34,46.95,9407480,410553680
"Jan 22, 2018",48.81,51.18,41.14,45.07,11446300,394100645
"Jan 21, 2018",59.06,59.35,46.12,47.5,12904400,415387098
"Jan 20, 2018",51.76,60.2,51.76,58.73,17234600,513589346
"Jan 19, 2018",45.72,52.64,44.23,51.18,15272900,447605803
"Jan 18, 2018",43.54,50.56,40.62,45.94,13511800,401734245
"Jan 17, 2018",42.35,46.29,32.22,43.2,20257600,377790155
"Jan 16, 2018",58.82,58.82,32.76,42.83,22837500,374584201
"Jan 15, 2018",64.01,66.27,57.76,58.9,20503800,515070767
"Jan 14, 2018",62.33,69.11,61.29,64.34,24864200,562633627
"Jan 13, 2018",62.58,65.19,61,62.23,17156200,544235682
"Jan 12, 2018",57.5,62.7,52.08,62.39,23812300,545634898
"Jan 11, 2018",66.62,67.2,56.98,57.38,18147200,501831557
"Jan 10, 2018",69,70.48,59.82,66.61,25423000,582530483
"Jan 09, 2018",75.78,79.47,66.23,68.58,31292400,599766205
"Jan 08, 2018",71.61,78.58,63.78,76.07,43430600,665239909
"Jan 07, 2018",63.65,87.16,63.26,71.38,52211000,624204393
"Jan 06, 2018",63.04,68.23,58.72,63.85,28218000,558381759
"Jan 05, 2018",66.55,69.71,58.5,62.74,36607800,548664201
"Jan 04, 2018",66.77,72.04,63.86,66.63,36659400,582677401
"Jan 03, 2018",61.84,71.65,58.53,66.37,47762500,580416792
"Jan 02, 2018",64.86,70.29,56.39,60.36,67878600,527840365
"Jan 01, 2018",58.31,78.08,52.01,64.81,104632000,566743825
"Dec 31, 2017",41.41,57.71,40.72,57.71,32330900,504714817
"Dec 30, 2017",47.02,47.34,38.04,42.19,19579400,368932242
"Dec 29, 2017",41.99,49.05,41.36,47.1,20666300,411917916
"Dec 28, 2017",44.31,44.94,37.96,41.56,15198000,363463055
"Dec 27, 2017",48.1,48.1,42.41,44.39,22010600,388222188
"Dec 26, 2017",47.91,48.02,40.56,47.85,35829800,418495982
"Dec 25, 2017",35.61,47.84,34.15,47.46,36559000,415043415
"Dec 24, 2017",37.1,37.29,29.72,35.56,13755700,311007309
"Dec 23, 2017",32.41,41.37,31.85,36.85,17790400,322300734
"Dec 22, 2017",41.79,43.1,23.47,32,22498500,279855507
"Dec 21, 2017",43.95,46.9,38.5,41.69,29188800,364584177
